cardID	名前	読み	Name	セット	cost coin	cost potion	cost debt	分類	種類	VP	card	action	buy	coin	VPtoken	能力	説明	推奨の組合せ	メモ	true	名前
Copper	銅貨	どうか	Copper	基本	0	0	0	基本	財宝	0	0	0	0	1	0	1コイン Worth 1 coins			※基本セット・陰謀セットに含まれる。「ドミニオン：基本カードセット」にて新しいイラストとなった。 ※60枚使用。ここから各プレイヤーに7枚ずつ配り、残りを表向きの山札にしてサプライに配置する。「銅貨」はサプライに含む。 	true	銅貨
Silver	銀貨	ぎんか	Silver	基本	3	0	0	基本	財宝	0	0	0	0	2	0	2コイン Worth 2 coins			※基本セット・陰謀セットに含まれる。「ドミニオン：基本カードセット」にて新しいイラストとなった。 ※40枚使用。表向きの山札にしてサプライに配置する。「銀貨」はサプライに含む。 	true	銀貨
Gold	金貨	きんか	Gold	基本	6	0	0	基本	財宝	0	0	0	0	3	0	3コイン Worth 3 coins			※基本セット・陰謀セットに含まれる。「ドミニオン：基本カードセット」にて新しいイラストとなった。 ※30枚使用。表向きの山札にしてサプライに配置する。「金貨」はサプライに含む。 	true	金貨
Estate	屋敷	やしき	Estate	基本	2	0	0	基本	勝利点	1	0	0	0	0	0	1勝利点 1 VP			※基本セット・陰謀セットに含まれる。「ドミニオン：基本カードセット」にて新しいイラストとなった。 ※プレイ人数により、以下の枚数を表向きの山札にしてサプライに配置する。「屋敷」はサプライに含む。 2人プレイ ： 8枚使用 3～6人プレイ：12枚使用 ※サプライとは別に、ゲームの開始前に各プレイヤーに3枚ずつ配る。なお、暗黒時代セットを使用する場合は、「屋敷」の代わりに避難所カード「共同墓地」「草茂る屋敷」「納屋」を使用する。その場合でもサプライの「屋敷」の枚数は変更しない。 	true	屋敷
Duchy	公領	こうりょう	Duchy	基本	5	0	0	基本	勝利点	3	0	0	0	0	0	3勝利点 3 VP			※基本セット・陰謀セットに含まれる。「ドミニオン：基本カードセット」にて新しいイラストとなった。 ※プレイ人数により、以下の枚数を表向きの山札にしてサプライに配置する。「公領」はサプライに含む。 2人プレイ ： 8枚使用 3～6人プレイ：12枚使用 	true	公領
Province	属州	ぞくしゅう	Province	基本	8	0	0	基本	勝利点	6	0	0	0	0	0	6勝利点 6 VP			※基本セット・陰謀セットに含まれる。「ドミニオン：基本カードセット」にて新しいイラストとなった。 ※プレイ人数により、以下の枚数を表向きの山札にしてサプライに配置する。「属州」はサプライに含む。なお、「属州」のサプライがなくなるとゲーム終了となる。 2人プレイ ： 8枚使用 3～4人プレイ：12枚使用 5人プレイ ：15枚使用 6人プレイ ：18枚使用 	true	属州
Curse	呪い	のろい	Curse	基本	0	0	0	基本	呪い	-1	0	0	0	0	0	-1勝利点 -1 VP			※基本セット・陰謀セットに含まれる。「ドミニオン：基本カードセット」にて新しいイラストとなった。 ※プレイ人数により、以下の枚数を表向きの山札にしてサプライに配置する。「呪い」はサプライに含む。「呪い」1枚は通常、0コインで購入することができる。 2人プレイ：10枚使用 3人プレイ：20枚使用 4人プレイ：30枚使用 5人プレイ：40枚使用 6人プレイ：50枚使用 	true	呪い
Adventurer	冒険者	ぼうけんしゃ	Adventurer	基本	6	0	0	王国	アクション	0	0	0	0	0	0	あなたの山札から財宝カード2枚が公開されるまで、カードを公開する。 公開した財宝カード2枚を手札に加え、他の公開したカードは捨て札に置く。 Reveal cards from your deck until you reveal 2 Treasure cards. Put those Treasure cards in your hand and discard the other revealed cards. 《2nd edition》 -	解決中に山札がなくなる場合は、捨て札をシャッフルして新たな山札を作る。カードの公開が完了するまでは、公開中のカードを捨て札に置いてシャッフルしてはならない。シャッフルして新たな山札を作っても、財宝カードが1枚しか公開されないまま新たな山札がなくなった場合は、その1枚だけを入手する。	基 ：ビッグ・マネー（Big Money） 海＋基：明日への架け橋（Reach for Tomorrow） 繁＋基：巨費（Biggest Money） 収＋基：凶兆（Bad Omens） 異＋基：異国への冒険（Adventures Abroad） ギ＋基：蛇足（Gilding the Lily）	※「坑道」の訳注にはないが、「冒険者」「公使」「義賊」「公爵夫人」のカードテキストにある「捨て札に置く」も「捨て札にする」と読み替える。これらのカードの効果により「坑道」が捨て札にされたとき、「坑道」のリアクションの能力を使用できる。 ※捨て札をシャッフルして作った新たな山札からも財宝カードが1枚も公開されない場合、何も手札に加えられない。 ※山札から公開した財宝以外のカードは、好きな順番でまとめて捨て札にする。 	true	冒険者
Bureaucrat	役人	やくにん	Bureaucrat	基本	4	0	0	王国	アクション－アタック	0	0	0	0	0	0	銀貨1枚を獲得し、あなたの山札の上に置く。 他のプレイヤーは全員、自分の手札から勝利点カード1枚を公開し、自分の山札の上に置く。 （手札に勝利点カードがない場合、手札を公開する。） Gain a silver card; put it on top of your deck. Each other player reveals a Victory card from his hand and puts it on his deck (or reveals a hand with no Victory cards). 《2nd edition》 Gain a Silver onto your deck. Each other player reveals a Victory card from their hand and puts it onto their deck (or reveals a hand with no Victory cards).	このカードを使用するときに自分の山札にカードが1枚もない場合、獲得した「銀貨」が自分の山札の唯一のカードとなる。同様に、他のプレイヤーも自分の山札が1枚もない場合は、山札に置く勝利点カードが自分の山札の唯一のカードとなる。	基 ：ビッグ・マネー（Big Money）、相互作用（Interaction） 陰＋基：手札熱狂（Hand Madness） 錬＋基：化学実験（Chemistry Lesson） 繁＋基：王の軍隊（The King's Army）、良き人生（The Good Life） 収＋基：凶兆（Bad Omens） 冒＋基：背格好のおかしな息子（Son of Size Distortion） 帝＋基：銀の弾丸（Silver Bullets）	※サプライに「銀貨」が1枚もない場合、「銀貨」を獲得することはできない。その場合でも他のプレイヤーへの効果は実施する。 	true	役人
Cellar	地下貯蔵庫	ちかちょぞうこ	Cellar	基本	2	0	0	王国	アクション	0	0	1	0	0	0	+1アクション 手札から好きな枚数のカードを捨て札にする。 捨て札1枚につき、カードを1枚引く。 +1 Action Discard any number of cards. +1 Card per card discarded. 《2nd edition》 +1 Action Discard any number of cards， then draw that many.	「地下貯蔵庫」の効果の解決時には「地下貯蔵庫」のカード自身は手札にはないため、「地下貯蔵庫」のカード自身を捨て札にすることはできない。使用時には、どのカードを捨て札にするかを選択し、選択したカードすべてを1度に捨て札にする。カードを捨て札にした後のみ、カードを引くことができる。引くときに山札のカードが足りず捨て札をシャッフルする場合、このカードの効果で捨て札にしたカードも一緒にシャッフルする。	基 ：最初のゲーム（First Game）、サイズ変形（Size Distortion）、村の広場（Village Square） 陰＋基：下役たち（Underlings） 海＋基：明日への架け橋（Reach for Tomorrow） 錬＋基：禁断の芸術（Forbidden Arts）、薬剤調合師たち（Potion Mixers） 繁＋基：良き人生（The Good Life） 収＋基：賞金稼ぎ（Bounty of the Hunt） 異＋基：辻強盗（Highway Robbery） 暗＋基：天国と地獄（High and Low） ギ＋基：美術工芸（Arts and Crafts） 帝＋基：何事もほどほどに（Everything in Moderation）	※手札から捨て札にするカードは、好きな順番でまとめて捨て札にする。捨てる枚数は0枚でもよいが、カードを引く効果は得られない。 	true	地下貯蔵庫
